CVC,17.40,N/A,N/A,11535472
COG,71.66,N/A,N/A,2320843
CDNS,14.57,14.63,14.56,1166347
CPN,21.24,N/A,N/A,2956412
CCJ,20.79,N/A,N/A,368324
CAM,61.70,N/A,N/A,2673878
CPB,44.92,N/A,N/A,1086928
CNQ,27.80,N/A,N/A,1428788
COF,63.17,N/A,N/A,2924243
CSE,9.39,N/A,N/A,1684912
CMO,12.12,N/A,N/A,784503
CAH,47.54,N/A,N/A,1974604
CFN,36.97,N/A,N/A,1128381
KMX,46.66,N/A,N/A,1324531
CCL,34.60,N/A,N/A,4359426
CTRX,49.13,47.72,47.56,3664795
CAT,83.06,N/A,N/A,4676582
CBL,21.58,N/A,N/A,862441
CBG,23.49,N/A,N/A,3799052
CBS,48.89,N/A,N/A,5136625
CDW,18.65,18.42,18.36,394118
CE,45.27,N/A,N/A,820979
CELG,119.10,119.32,118.13,2317749
CLDX,16.05,16.50,16.24,2725559
CX,10.65,N/A,N/A,11679700
CVE,28.57,N/A,N/A,582687
CNP,23.71,N/A,N/A,2749469
CEF,13.70,N/A,N/A,1284846
CENX,9.36,9.60,9.51,832902
CTL,35.32,N/A,N/A,2583345
CERN,48.50,48.81,48.72,1547944
CF,173.22,N/A,N/A,1570982
CHRW,56.52,56.59,56.48,815420
CSG,9.65,N/A,N/A,2053882
SCHW,21.33,N/A,N/A,9383008
CHKP,49.77,50.35,50.15,1010904
LNG,27.80,N/A,N/A,5728210
CHK,20.46,N/A,N/A,7413340
CVX,118.17,N/A,N/A,5053222
CBI,60.16,N/A,N/A,808928
CHS,17.10,N/A,N/A,2887836
CB,84.97,N/A,N/A,922818
CIEN,19.51,19.48,19.38,1945698
CI,73.17,N/A,N/A,1753744
CRUS,17.56,17.77,17.73,1469757
CSCO,24.42,24.33,24.31,33519432
CIT,46.85,N/A,N/A,1660107
C,48.52,N/A,N/A,27240876
CTXS,61.00,61.18,60.98,2976962
CLNE,13.26,13.52,13.21,1177598
CLWR,4.995,5.00,4.99,4006604
CLF,16.45,N/A,N/A,6076792
CME,76.31,76.86,76.45,1716114
CMS,27.08,N/A,N/A,4383569
CNO,13.02,N/A,N/A,1143903
COH,57.35,N/A,N/A,2054794
CIE,26.99,N/A,N/A,5262941
KO,40.50,N/A,N/A,10754583
CCE,35.51,N/A,N/A,2483374
CDE,13.20,N/A,N/A,2460997
CTSH,63.40,64.11,63.85,3040831
CSTR,59.66,60.53,59.86,712496
CL,57.60,N/A,N/A,3727649
CMCSK,39.70,39.00,38.83,2106746
CMCSA,41.61,40.65,40.53,14417344
CMA,40.04,N/A,N/A,1739870
CMC,14.78,N/A,N/A,1753711
CWH,23.27,N/A,N/A,789804
CYH,46.95,N/A,N/A,664938
ABV,37.60,N/A,N/A,3998487
SBS,10.50,N/A,N/A,1241208
CSC,43.99,N/A,N/A,1377033
CPWR,10.42,10.55,10.48,840520
CRK,15.80,N/A,N/A,515033
CAG,35.00,N/A,N/A,3050659
CXO,84.22,N/A,N/A,1373210
COP,60.73,N/A,N/A,5100523
CNX,27.24,N/A,N/A,2461951
ED,58.52,N/A,N/A,1699682
STZ,52.49,N/A,N/A,2818010
XLY,56.76,57.49,53.21,9685759
XLP,39.95,40.25,39.81,11795280
CLR,86.68,N/A,N/A,735704
CTB,33.13,N/A,N/A,932347
CLGX,23.7065,N/A,N/A,2141551
GLW,14.36,N/A,N/A,6831326
CXW,33.41,N/A,N/A,1978589
CZZ,16.21,N/A,N/A,833466
COST,111.31,110.48,110.15,1086070
COTY,17.25,N/A,N/A,1188797
COV,57.16,N/A,N/A,3363506
XIV,20.30,20.52,20.46,15583335
CS,27.13,N/A,N/A,1403631
CREE,64.56,64.21,63.34,1452731
CROX,16.89,17.06,16.71,923782
CCI,72.50,N/A,N/A,3484318
CST,30.79,N/A,N/A,843174
CSX,23.35,N/A,N/A,6105237
CTRP,33.20,33.29,32.51,1239163
CUBE,16.06,N/A,N/A,745219
CMI,109.25,N/A,N/A,1605244
CVS,57.72,N/A,N/A,4747135
CY,10.71,10.88,10.84,2867569
CYS,9.26,N/A,N/A,1728124
DAN,19.42,N/A,N/A,5065942
DHR,63.64,N/A,N/A,3760389
DRI,50.735,N/A,N/A,1648275
DCT,7.21,N/A,N/A,6662883
DDR,16.78,N/A,N/A,4002848
DF,10.095,N/A,N/A,3412339
DECK,50.79,51.78,51.56,551965
DE,81.99,N/A,N/A,2984129
DELL,13.36,13.32,13.31,19903384
