Date,Open,High,Low,Close,Volume,Adj Close
2013-04-29,35.05,36.23,34.95,35.77,3380300,35.77
2013-04-26,34.86,35.11,33.80,34.57,1666800,34.57
2013-04-25,35.36,35.88,35.01,35.12,2123600,35.12
2013-04-24,34.02,35.12,34.02,34.94,2464600,34.94
2013-04-23,32.65,34.38,32.61,34.00,3337200,34.00
2013-04-22,33.12,33.33,31.11,32.47,2287000,32.47
2013-04-19,33.01,33.90,32.75,32.94,1644500,32.94
2013-04-18,34.00,34.00,32.11,32.75,2484800,32.75
2013-04-17,34.26,34.50,33.37,33.92,1895200,33.92
2013-04-16,34.59,34.65,33.48,34.19,2095700,34.19
2013-04-15,35.17,35.38,33.00,33.28,3065300,33.28
2013-04-12,34.79,35.65,34.04,35.40,2505900,35.40
2013-04-11,34.73,36.54,34.41,35.08,5138400,35.08
2013-04-10,33.34,35.17,33.20,34.44,5460700,34.44
2013-04-09,31.60,33.40,31.58,32.71,2833800,32.71
2013-04-08,31.49,31.60,30.59,31.45,1544700,31.45
2013-04-05,30.17,31.46,30.07,31.25,2609400,31.25
2013-04-04,30.86,31.03,30.12,30.75,2056600,30.75
2013-04-03,32.42,32.69,30.73,30.85,3386900,30.85
2013-04-02,33.88,33.88,31.55,31.94,4352500,31.94
2013-04-01,33.04,33.43,32.60,33.14,4478200,33.14
2013-03-28,31.22,32.40,30.90,32.24,3894500,32.24
2013-03-27,30.53,30.85,30.00,30.62,2690900,30.62
2013-03-26,31.10,31.30,29.88,30.92,2594200,30.92
2013-03-25,32.29,32.35,30.75,30.83,3601400,30.83
2013-03-22,31.19,32.33,30.61,31.53,5846000,31.53
2013-03-21,29.42,31.36,28.61,30.57,4904500,30.57
2013-03-20,29.31,30.10,29.05,29.42,2953800,29.42
2013-03-19,30.13,30.36,28.81,29.16,3191600,29.16
2013-03-18,28.31,30.29,27.88,29.72,5175500,29.72
2013-03-15,30.05,30.43,28.62,29.16,7372200,29.16
2013-03-14,32.18,32.24,29.90,30.66,6846700,30.66
2013-03-13,32.51,32.56,31.80,32.00,2925300,32.00
2013-03-12,32.90,33.59,32.33,32.48,2840800,32.48
2013-03-11,34.17,34.17,32.91,33.09,2511700,33.09
2013-03-08,34.01,34.41,32.66,33.72,3718600,33.72
2013-03-07,32.15,34.46,31.76,33.21,4490600,33.21
2013-03-06,34.14,34.16,32.25,32.67,5666700,32.67
2013-03-05,35.65,36.20,34.24,34.47,3809900,34.47
2013-03-04,37.63,37.85,35.40,35.66,4080800,35.66
2013-03-01,36.00,37.16,35.18,36.70,3541200,36.70
2013-02-28,37.36,37.70,36.41,36.96,4156700,36.96
2013-02-27,35.80,37.00,35.13,36.37,3912500,36.37
2013-02-26,34.98,35.86,33.57,35.12,6137200,35.12
2013-02-25,32.94,36.59,30.28,34.55,15719200,34.55
2013-02-22,56.03,57.44,55.51,56.95,6780400,37.97
2013-02-21,59.15,59.74,53.60,54.89,7383300,36.59
2013-02-20,60.50,60.94,58.81,59.90,3030600,39.93
2013-02-19,59.48,60.44,58.43,60.20,4640100,40.13
2013-02-15,62.53,62.81,58.47,59.53,8924200,39.69
2013-02-14,65.02,65.45,59.77,62.75,12282800,41.83
2013-02-13,64.23,66.10,63.06,65.61,6879800,43.74
2013-02-12,66.69,67.75,62.26,63.07,7685600,42.05
2013-02-11,67.77,67.77,65.28,67.40,3688800,44.93
2013-02-08,66.58,67.60,66.22,66.91,3428600,44.61
2013-02-07,67.53,68.44,64.04,66.05,5730300,44.03
2013-02-06,65.06,67.45,63.61,67.40,7368600,44.93
2013-02-05,61.15,63.46,60.80,62.58,4983300,41.72
2013-02-04,58.75,61.21,58.13,59.72,3638200,39.81
2013-02-01,59.01,59.80,58.00,58.54,3119400,39.03
2013-01-31,59.55,59.75,54.01,57.85,8520200,38.57
2013-01-30,63.65,63.73,60.01,60.40,5464800,40.27
2013-01-29,57.85,63.59,56.16,62.00,10313000,41.33
2013-01-28,69.21,69.24,59.10,59.50,17005500,39.67
2013-01-25,71.15,71.90,68.15,69.07,5132400,46.05
2013-01-24,67.95,71.50,67.90,69.66,4277400,46.44
2013-01-23,71.98,71.98,67.26,68.35,6311400,45.57
2013-01-22,67.53,71.22,67.18,69.80,7574000,46.53
2013-01-18,63.67,66.22,62.90,65.82,3793800,43.88
2013-01-17,62.50,63.59,61.86,63.15,2321100,42.10
2013-01-16,63.21,63.21,61.29,62.59,3350200,41.73
2013-01-15,60.46,62.88,60.00,62.50,2799400,41.67
2013-01-14,61.14,62.35,59.33,60.71,3370500,40.47
2013-01-11,60.45,60.90,59.41,60.35,2949200,40.23
2013-01-10,61.02,61.39,57.60,59.31,4506600,39.54
2013-01-09,58.75,60.85,57.25,60.40,3680100,40.27
2013-01-08,61.74,61.82,56.05,58.65,7931400,39.10
2013-01-07,61.67,61.75,59.81,60.67,5817400,40.45
2013-01-04,58.17,59.00,57.35,58.84,3885600,39.23
2013-01-03,57.10,58.09,55.88,56.97,3737700,37.98
2013-01-02,57.68,59.89,55.20,55.78,4545200,37.19
2012-12-31,51.05,53.47,50.19,53.35,2085300,35.57
2012-12-28,50.20,51.82,49.55,51.08,1462200,34.05
2012-12-27,51.94,52.13,48.50,50.60,2636200,33.73
2012-12-26,51.90,53.00,51.40,51.85,1281300,34.57
2012-12-24,52.03,53.10,51.82,51.90,1105400,34.60
2012-12-21,50.11,51.98,49.06,51.92,3002800,34.61
2012-12-20,51.37,52.17,50.73,51.51,2274300,34.34
2012-12-19,52.62,53.04,50.11,51.41,3079000,34.27
2012-12-18,49.42,51.96,49.05,51.76,4344200,34.51
2012-12-17,46.44,48.68,46.44,48.28,2592400,32.19
2012-12-14,45.29,46.55,45.23,45.81,1175100,30.54
2012-12-13,47.11,47.41,45.50,46.08,1574800,30.72
2012-12-12,48.11,48.25,46.30,46.84,2000800,31.23
2012-12-11,46.50,47.09,46.21,47.08,1602600,31.39
2012-12-10,45.68,46.56,45.63,46.14,1508800,30.76
2012-12-07,45.61,46.10,44.85,45.61,1667700,30.41
2012-12-06,44.00,44.85,43.51,44.54,1359300,29.69
2012-12-05,44.34,44.78,43.38,43.63,1649800,29.09
2012-12-04,42.42,44.37,42.35,43.93,3185700,29.29
2012-12-03,45.50,46.20,42.50,42.59,4400000,28.39
2012-11-30,47.69,47.69,44.50,44.71,3590600,29.81
2012-11-29,49.12,49.35,46.46,47.15,4076100,31.43
2012-11-28,44.87,48.89,44.65,48.36,4910600,32.24
2012-11-27,46.61,46.61,44.52,45.24,2972400,30.16
2012-11-26,42.19,46.79,41.70,46.55,7210800,31.03
2012-11-23,41.56,42.55,40.51,41.74,1306600,27.83
2012-11-21,41.50,41.96,40.80,41.41,1137800,27.61
2012-11-20,41.60,42.11,40.33,41.26,1874600,27.51
2012-11-19,39.03,41.30,39.03,41.28,3532200,27.52
2012-11-16,38.77,38.77,36.53,38.04,2880400,25.36
2012-11-15,41.00,41.61,36.90,37.79,4069200,25.19
2012-11-14,41.82,42.50,41.23,41.57,2284600,27.71
2012-11-13,41.52,42.58,40.02,41.68,4112000,27.79
2012-11-12,46.19,46.20,41.50,42.17,5190400,28.11
2012-11-09,45.88,46.92,43.75,46.00,3206800,30.67
2012-11-08,44.02,46.80,43.85,46.02,2908600,30.68
2012-11-07,42.40,43.37,41.13,43.34,1977600,28.89
2012-11-06,43.70,44.25,42.85,43.44,1472700,28.96
2012-11-05,43.72,43.72,42.05,42.76,1915600,28.51
2012-11-02,46.01,46.23,42.15,42.54,2493800,28.36
2012-11-01,43.73,45.65,43.35,45.34,2014400,30.23
2012-10-31,43.66,43.93,42.50,43.50,2358200,29.00
2012-10-26,40.75,42.92,40.50,42.67,1897500,28.45
2012-10-25,39.27,42.82,38.75,40.85,7236800,27.23
2012-10-24,35.95,36.00,34.56,35.92,1714800,23.95
2012-10-23,36.73,37.48,35.73,36.24,1191800,24.16
2012-10-22,36.72,37.00,36.29,36.98,1086400,24.65
2012-10-19,37.38,37.59,36.18,36.22,1494200,24.15
2012-10-18,38.96,38.97,36.91,37.65,1503200,25.10
